index,position,stimulusId,isOddball,targetMs,onsetMs,deltaMs,ioiMs
308,309,base_04,0,51333.333,51334.200,0.867,166.700
309,310,oddball_01,1,51500.000,51500.900,0.900,166.700
310,311,base_01,0,51666.667,51667.600,0.933,166.700
311,312,base_02,0,51833.333,51834.200,0.867,166.600
312,313,base_04,0,52000.000,52000.800,0.800,166.600
313,314,base_03,0,52166.667,52167.400,0.733,166.600
314,315,oddball_01,1,52333.333,52334.200,0.867,166.800
315,316,base_01,0,52500.000,52500.800,0.800,166.600
316,317,base_03,0,52666.667,52667.300,0.633,166.500
317,318,base_01,0,52833.333,52834.000,0.667,166.700
318,319,base_02,0,53000.000,53000.800,0.800,166.800
319,320,oddball_01,1,53166.667,53167.500,0.833,166.700
320,321,base_03,0,53333.333,53334.100,0.767,166.600
321,322,base_02,0,53500.000,53500.900,0.900,166.800
322,323,base_01,0,53666.667,53667.500,0.833,166.600
323,324,base_02,0,53833.333,53834.100,0.767,166.600
324,325,oddball_01,1,54000.000,54000.700,0.700,166.600
325,326,base_04,0,54166.667,54167.500,0.833,166.800
326,327,base_03,0,54333.333,54334.100,0.767,166.600
327,328,base_01,0,54500.000,54500.700,0.700,166.600
328,329,base_03,0,54666.667,54667.400,0.733,166.700
329,330,oddball_01,1,54833.333,54834.100,0.767,166.700
330,331,base_02,0,55000.000,55000.800,0.800,166.700
331,332,base_04,0,55166.667,55167.400,0.733,166.600
332,333,base_01,0,55333.333,55334.100,0.767,166.700
333,334,base_02,0,55500.000,55500.700,0.700,166.600
334,335,oddball_01,1,55666.667,55667.300,0.633,166.600
335,336,base_04,0,55833.333,55834.000,0.667,166.700
336,337,base_01,0,56000.000,56000.700,0.700,166.700
337,338,base_04,0,56166.667,56167.400,0.733,166.700
338,339,base_02,0,56333.333,56334.000,0.667,166.600
339,340,oddball_01,1,56500.000,56500.600,0.600,166.600
340,341,base_02,0,56666.667,56667.300,0.633,166.700
341,342,base_04,0,56833.333,56834.100,0.767,166.800
342,343,base_01,0,57000.000,57000.600,0.600,166.500
343,344,base_02,0,57166.667,57167.300,0.633,166.700
344,345,oddball_01,1,57333.333,57333.900,0.567,166.600
345,346,base_02,0,57500.000,57500.700,0.700,166.800
346,347,base_03,0,57666.667,57667.400,0.733,166.700
347,348,base_01,0,57833.333,57834.000,0.667,166.600
348,349,base_04,0,58000.000,58000.600,0.600,166.600
349,350,oddball_01,1,58166.667,58167.200,0.533,166.600
350,351,base_04,0,58333.333,58334.000,0.667,166.800
351,352,base_01,0,58500.000,58500.600,0.600,166.600
352,353,base_02,0,58666.667,58667.200,0.533,166.600
353,354,base_01,0,58833.333,58833.900,0.567,166.700
354,355,oddball_01,1,59000.000,59000.600,0.600,166.700
355,356,base_02,0,59166.667,59167.200,0.533,166.600
356,357,base_03,0,59333.333,59334.100,0.767,166.900
357,358,base_02,0,59500.000,59500.600,0.600,166.500
358,359,base_03,0,59666.667,59667.100,0.433,166.500
359,360,oddball_01,1,59833.333,59833.800,0.467,166.700
